base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;La Libertad Avanza;Positivo;5665;Concejales Titulares
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;En Blanco;En Blanco;1126;Concejales Titulares
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Somos;Positivo;988;Concejales Titulares
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Nulo;Nulo;43;Concejales Titulares
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Fuerza Patria;Positivo;2516;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;En Blanco;En Blanco;542;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Nulo;Nulo;115;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;La Libertad Avanza;Positivo;3404;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Otras fuerzas;Positivo;1269;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Somos;Positivo;0;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Fuerza Patria;Positivo;2718;Concejales Titulares
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;La Libertad Avanza;Positivo;3804;Concejales Titulares
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Somos;Positivo;139;Concejales Titulares
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Fuerza Patria;Positivo;3217;Concejales Titulares
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;En Blanco;En Blanco;307;Concejales Titulares
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Nulo;Nulo;12;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;En Blanco;En Blanco;7640;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Nulo;Nulo;4207;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Frente de Izquierda;Positivo;24789;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;La Libertad Avanza;Positivo;115141;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Fuerza Patria;Positivo;153679;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Potencia;Positivo;10440;Concejales Titulares
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Somos;Positivo;15034;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;La Libertad Avanza;Positivo;9437;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Nulo;Nulo;111;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Potencia;Positivo;277;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Fuerza Patria;Positivo;5611;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Otras fuerzas;Positivo;2613;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;En Blanco;En Blanco;1174;Concejales Titulares
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;En Blanco;En Blanco;24467;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Somos;Positivo;8245;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;La Libertad Avanza;Positivo;75871;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Frente de Izquierda;Positivo;14344;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Potencia;Positivo;0;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Nulo;Nulo;1728;Concejales Titulares
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Fuerza Patria;Positivo;94378;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Potencia;Positivo;219;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Somos;Positivo;976;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;La Libertad Avanza;Positivo;6266;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Nulo;Nulo;213;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Fuerza Patria;Positivo;4031;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;En Blanco;En Blanco;1184;Concejales Titulares
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Frente de Izquierda;Positivo;1525;Concejales Titulares
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Somos;Positivo;1196;Concejales Titulares
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Nulo;Nulo;956;Concejales Titulares
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Fuerza Patria;Positivo;9866;Concejales Titulares
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;La Libertad Avanza;Positivo;15815;Concejales Titulares
