base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;La Libertad Avanza;Positivo;6272;Diputados Provinciales
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Frente de Izquierda;Positivo;257;Diputados Provinciales
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Nulo;Nulo;45;Diputados Provinciales
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;En Blanco;En Blanco;717;Diputados Provinciales
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Somos;Positivo;794;Diputados Provinciales
ADOLFO ALSINA;ADOLFO ALSINA;Provincia de Buenos Aires;Sexta;Adolfo Alsina;2025;Fuerza Patria;Positivo;2253;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Nulo;Nulo;94;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Frente de Izquierda;Positivo;182;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Fuerza Patria;Positivo;2859;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;En Blanco;En Blanco;1083;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;La Libertad Avanza;Positivo;3723;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Somos;Positivo;107;Diputados Provinciales
ADOLFO GONZALES CHAVES;ADOLFO GONZALES CHAVES;Provincia de Buenos Aires;Sexta;Adolfo Gonzáles Chaves;2025;Otras fuerzas;Positivo;0;Diputados Provinciales
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Nulo;Nulo;12;Senadores Provinciales
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;La Libertad Avanza;Positivo;3962;Senadores Provinciales
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Fuerza Patria;Positivo;2717;Senadores Provinciales
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Somos;Positivo;177;Senadores Provinciales
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;Frente de Izquierda;Positivo;115;Senadores Provinciales
ALBERTI;ALBERTI;Provincia de Buenos Aires;Cuarta;Alberti;2025;En Blanco;En Blanco;496;Senadores Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;La Libertad Avanza;Positivo;114980;Diputados Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;En Blanco;En Blanco;6825;Diputados Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Somos;Positivo;14895;Diputados Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Fuerza Patria;Positivo;155043;Diputados Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Frente de Izquierda;Positivo;24667;Diputados Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Nulo;Nulo;4197;Diputados Provinciales
ALMIRANTE BROWN;ALMIRANTE BROWN;Provincia de Buenos Aires;Tercera;Almirante Brown;2025;Potencia;Positivo;10323;Diputados Provinciales
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Fuerza Patria;Positivo;5761;Diputados Provinciales
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Nulo;Nulo;116;Diputados Provinciales
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;La Libertad Avanza;Positivo;8708;Diputados Provinciales
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Otras fuerzas;Positivo;1569;Diputados Provinciales
ARRECIFES;ARRECIFES;Provincia de Buenos Aires;Segunda;Arrecifes;2025;Potencia;Positivo;447;Diputados Provinciales
